topic,goal
health,Do thirty pushups.
health,Run a 10k.
health,Master five yoga poses.
health,Complete five pull-ups.
health,Touch the rim of a basketball hoop.
health,Do a handstand for at least 10 seconds.
health,Hold a deep squat for one minute.
health,Do a one-arm pushup.
health,Swim a mile.
health,Add sprints to your run.
health,Master four plyometric moves.
personal,Write a short story.
personal,Take a painting class.
personal,Choreograph a dance.
personal,"Write 1,200 words each day for a month."
personal,Create a new recipe and master it.
personal,Make a vision board.
personal,Learn how to knit.
personal,Redesign the inside of your home.
personal,Design an innovative technology (even if you don't plan on having it manufactured).
personal,Build something — big or small. It could be a small figure out of clay or an entire piece of furniture made from wood and fabric.
personal,"Enjoy being a beginner. Master something new, like Hula-Hooping, glass blowing, juggling, or carving wood."
social,Become an active listener by showing a serious effort to focus on what other people are saying and the messages they are trying to convey. Ask follow-up questions and use non-verbal cues to demonstrate interest.
social,Learn to ask for help as easily as you offer it.
social,Reach out to a distant family member at least once a month. Doing this will help you maintain those relationships that are often so easily dissolved.
social,Maintain a healthy work-life balance. This means consciously making time for your social and familial relationships on a regular basis.
social,"Learn to forgive. Letting go of any grudges and resentments will not only strengthen your relationships, it will also give you peace of mind."
social,Learn to have empathy. Being able to feel what other people are feeling helps you care for other people and make a difference in your relationships.
social,"Live in alignment with your integrity. Living your life as an ethical person, always being honest with other people, having solid values, and being loyal are all examples of ways you can fulfill your own personal operating systems in life."
social,"Be respected. As a respectful member of society, people trust and look up to you."
social,Be inspiring. Set positive examples for those around you. Be a role model.
social,Be interpersonally effective. Learn to share your feelings with other people and express yourself freely.
social,"Be a good family member. This could involve passing positive values onto your children, having a good marriage, or having a secure relationship with your distant family members."
career,"Continue your education, whether it means getting an advanced degree or becoming an expert in your specific skill or craft."
career,Exceed the expectations that are put forth by your superiors.
career,Become a mentor in your field to those who are future professionals.
career,"Overcome the fear of public speaking so one day you can call on your verbal communication skills to motivate, teach, and inspire other members of your team."
career,Become a thought leader by starting a blog or sharing your ideas in the community in order to get people talking.
career,Start your own business and fill a void that you see in our society. Meet the unmet needs if people.
career,Become the expert that people seek out in your industry when they want to learn.
career,"Make a career out of a hobby. If there is something that you love to do, but don't make enough money (or any) doing it to support your lifestyle, try perfecting the craft until you can make it a career."
career,Be an innovator or an early-adopter. Use your creativity to come up with a new way of doing things in your job or career.
career,Create a website or promotional materials for your work.
spiritual,Attend a silent retreat to connect with a higher power and find inner peace.
spiritual,"Learn to live in line with your spiritual values, such as forgiveness, compassion, loving other people, and gratitude."
spiritual,Become a master at Reiki or some other natural healing technique.
spiritual,Practice mindfulness by learning to live in the moment. Engaging in mindfulness meditation every day will help you become more mindful in daily life.
spiritual,"Drink or bathe in Lourdes water, which is the water that comes from a spring in the Grotto of Massabielle in the Sanctuary of Our Lady of Lourdes in France."
spiritual,Read the entire Bible or the great religious works of your particular faith.
spiritual,Take trips to the 50 holiest sites in the world.
spiritual,"Find your own answers to these questions:(Why must anyone suffer?,Is there an afterlife?, Why do bad things happen to good people?,Is everyone connected in some way?,What is the meaning of life?)"
spiritual,Interview a spiritual leader and ask them the spiritual questions that you’ve always been curious about.
spiritual,"Learn how to identify with your higher self, rather than identifying with your ego."
spiritual,Meet someone who has a religious or spiritual background that’s vastly different from your own and ask them about their beliefs.
spiritual,Become more regular at attending religious services.
knowledge,Take a class that interests you but is irrelevant to your career.
knowledge,Learn a new language.
knowledge,Learn to view your mistakes as lessons and consider the knowledge you can take away from them.
knowledge,"Develop the skills that are needed to properly learn, such as laboratory skills, critical thinking skills, problem-solving skills, creative skills, and writing skills."
knowledge,Get an advanced degree in a subject or master the knowledge of one thing in particular.
knowledge,Be open to broadening your perspective on a variety of topics.
knowledge,Recognize that learning can happen anywhere– not just in a formal setting.
knowledge,Gain enough knowledge about a topic to be able to teach a class.
knowledge,Apply knowledge in a useful way to benefit you and those around you.
knowledge,"Maintain a positive mindset in all learning environments, even if the information seems confusing or advanced."
financial,Build an emergency fund that will pay your bills for nine months in case you lose your source of income.
financial,Live debt-free by paying off all credit cards and not opening any new ones. This requires living within your means.
financial,"Have additional income on top of your primary income. For example, start a side job or pick up a part-time job."
financial,Start planning for retirement while you are young so you don't get to the middle of your life and realize you don't have any money saved up.
financial,"Buy a high level of insurance to cover all types of liabilities that you may have, like health insurance, car insurance, and homeowner's insurance."
financial,"Cut out the small, frequent purchases. This may be your daily morning coffee or going out to eat every day."
financial,Earn enough money to be generous with non-profit organizations and causes that are important to you.
financial,"Pay off your home within twenty years. The typical mortgage is thirty years, but if you can pay off your home faster, you will save a lot of money in interest."
financial,Pay off your student loans and build a college fund for your children.
financial,Don't spend beyond your means. Determine your expenses before you receive your paycheck so you won't be tempted to buy things you don't need.
financial,Love whatever you are doing that is making you money. This means pursuing your passion until it becomes your source of income.
financial,"Create a budgeting habit. This can be hard to do, especially if you don't make a lot of money, but once you figure out your needs and the bills that you need to pay, you can easily create a budget."
health,Ditch the junk foods and start eating clean. Plan and prep your meals at the beginning of the week so you don't have any excuses to pick up fast food on the way home from work.
health,Drink water instead of soda or juice and drink enough water to remain hydrated.
